Mod Loading Profiling Results:
   Constructing
      darkredstonecore: 0ms
Class Transformer Profiling Results:
   Transformer Specific
      net.minecraftforge.fml.common.asm.transformers.EventSubscriptionTransformer: 7011ms
      net.minecraftforge.fml.common.asm.transformers.SideTransformer: 3799ms
      micdoodle8.mods.miccore.MicdoodleTransformer: 3554ms
      li.cil.oc.common.asm.ClassTransformer: 2193ms
      net.minecraftforge.fml.common.asm.transformers.EventSubscriberTransformer: 1535ms
      com.enderio.core.common.transform.SimpleMixinPatcher: 1377ms
      net.ilexiconn.llibrary.server.core.patcher.LLibraryRuntimePatcher: 266ms
      me.modmuss50.loadingtips.core.ClassTransformer: 199ms
      me.paulf.wings.server.asm.WingsRuntimePatcher: 145ms
      com.cleanroommc.multiblocked.core.ASMTransformer: 83ms
      org.dimdev.jeid.JEIDTransformer: 80ms
      me.paulf.wings.server.asm.mobends.WingsMoBendsRuntimePatcher: 55ms
      team.chisel.ctm.client.asm.CTMTransformer: 38ms
      com.glodblock.github.coremod.FCClassTransformer: 38ms
      blusunrize.immersiveengineering.common.asm.IEClassTransformer: 28ms
      com.enderio.core.common.transform.EnderCoreTransformer: 26ms
      appeng.core.transformer.AE2ELTransformer: 21ms
   Class Specific
      lumien.resourceloader.asm.ClassTransformer: 230ms
      net.minecraft.entity.EntityLiving: 119ms
      twilightforest.world.feature.TFGenLargeRainboak: 111ms
      li.cil.oc.common.tileentity.traits.power.IndustrialCraft2Experimental: 92ms
      zollerngalaxy.mobs.entities.base.EntityWaterMobZG: 72ms
      forestry.sorting.blocks.BlockGeneticFilter: 71ms
      net.minecraft.item.ItemStack: 60ms
      kotlin.collections.ArraysKt: 55ms
      net.minecraft.block.Block: 54ms
      net.minecraft.entity.Entity: 53ms
      net.minecraft.world.World: 49ms
      kotlin.collections.ArraysKt___ArraysKt: 46ms
      net.minecraft.client.renderer.EntityRenderer: 44ms
      net.minecraft.entity.EntityLivingBase: 42ms
      appeng.api.implementations.IUpgradeableHost: 41ms
      li.cil.oc.common.launch.CoreModContainer: 40ms
      net.rom.exoplanets.astronomy.yzceti.b.SkyProviderYzCetiB: 39ms
      crazypants.enderio.base.machine.baselegacy.AbstractInventoryMachineBlock: 38ms
      net.minecraft.entity.player.EntityPlayer: 37ms
      com.teamacronymcoders.base.client.models.generator.generatedmodel.ModelType: 34ms
      appeng.util.Platform: 33ms
      li.cil.oc.common.template.DroneTemplate$: 33ms
      kotlin.reflect.jvm.internal.impl.serialization.deserialization.builtins.BuiltInSerializerProtocol: 33ms
      crazypants.enderio.base.farming.farmers.CustomSeedFarmer: 31ms
      mekanism.common.PacketHandler: 31ms
      vazkii.botania.api.wiki.SimpleWikiProvider: 30ms
      cofh.shade.com.typesafe.config.impl.CoFHOrderedParsableFile: 29ms
      net.minecraftforge.fml.common.toposort.TopologicalSort$DirectedGraph: 28ms
      com.gildedgames.aether.common.entities.animals.EntityMoa: 27ms
      li.cil.oc.server.component.DebugCard: 27ms
      hellfirepvp.astralsorcery.common.auxiliary.tick.ITickHandler: 26ms
      nc.recipe.ProcessorRecipeHandler: 26ms
      net.minecraftforge.client.ForgeHooksClient: 25ms
      ic2.core.audio.PositionSpec: 24ms
      net.minecraftforge.fml.client.SplashProgress$SplashFontRenderer: 24ms
      crazypants.enderio.base.item.rodofreturn.ItemRodOfReturn: 23ms
      asmodeuscore.core.astronomy.gui.screen.NewGuiCelestialSelection: 22ms
      com.github.benmanes.caffeine.cache.SS: 22ms
   Total: 20562ms
